unique_id;plant_sp;fungal_sp;replicate;treatment;block;Height t0;Height t1;Dead/Sick
517;RAR;JPK-132;7;58;4;1,1;3,5;
363;RAR;OMA;9;40;6;;;*
38;RAR;STR;8;4;4;1;1,5;
208;RAR;MEV;10;22;4;1,2;3,6;
357;RAR;OMA;3;40;4;0,7;1;
670;RAR;MGK;4;76;4;1,1;2,7;
121;RAR;RHE;1;13;4;0,4;1,1;
595;RAR;RER;7;67;2;;;*
200;RAR;MEV;2;22;5;0,6;2,8;
596;RAR;RER;8;67;5;;;*
675;RAR;MGK;9;76;5;0,8;1,5;
40;RAR;STR;10;4;5;0,5;1;
128;RAR;RHE;8;13;4;;;*
438;RAR;JPK-87;6;49;5;1,2;1,3;
124;RAR;RHE;4;13;5;;;*
355;RAR;OMA;1;40;5;1,4;2,5;
204;RAR;MEV;6;22;5;1,3;4,3;
520;RAR;JPK-132;10;58;6;1,5;2;
284;RAR;MEB;8;31;6;0,3;1,1;
34;RAR;STR;4;4;6;1,2;1,3;
594;RAR;RER;6;67;6;1,6;2,1;
672;RAR;MGK;6;76;6;0,6;2,5;
122;RAR;RHE;2;13;6;;;*
439;RAR;JPK-87;7;49;6;0,8;1,3;
39;RAR;STR;9;4;3;;0,4;
206;RAR;MEV;8;22;6;0,6;2,4;
597;RAR;RER;9;67;6;0,7;1,4;
35;RAR;STR;5;4;6;;;*
129;RAR;RHE;9;13;7;0,7;1,4;
442;RAR;JPK-87;10;49;7;1,5;1,4;
515;RAR;JPK-132;5;58;7;1,5;3;
591;RAR;RER;3;67;7;1;1,6;
358;RAR;OMA;4;40;7;1,1;2,1;
278;RAR;MEB;2;31;7;0,6;1;
676;RAR;MGK;10;76;7;0,9;1,7;
37;RAR;STR;7;4;7;2,3;2,3;
207;RAR;MEV;9;22;7;1;3,8;
440;RAR;JPK-87;8;49;7;1,1;1,2;
512;RAR;JPK-132;2;58;7;0,9;2,3;
279;RAR;MEB;3;31;7;0,4;1,1;
205;RAR;MEV;7;22;8;1,5;3,2;
36;RAR;STR;6;4;8;0,7;0,6;
518;RAR;JPK-132;8;58;8;1;4,3;
441;RAR;JPK-87;9;49;8;1,2;1,1;
281;RAR;MEB;5;31;8;0,7;1,3;
360;RAR;OMA;6;40;8;0,5;2,2;
127;RAR;RHE;7;13;8;0,5;0,7;
674;RAR;MGK;8;76;8;1;2,1;
598;RAR;RER;10;67;8;0,5;0,7;
199;RAR;MEV;1;22;8;1,1;3,8;
673;RAR;MGK;7;76;8;0,4;1,5;
356;RAR;OMA;2;40;8;1,6;3;
362;RAR;OMA;8;40;8;1,2;2,7;
433;RAR;JPK-87;1;49;8;0,7;0,9;
505;RFE;JPK-132;5;57;3;;;*
353;RFE;OMA;9;39;1;0,2;1,1;
662;RFE;MGK;6;75;1;0,2;0,3;
27;RFE;STR;7;3;1;0,2;0,4;
120;RFE;RHE;10;12;1;0,1;0,8;
506;RFE;JPK-132;6;57;1;0,5;1;
585;RFE;RER;7;66;1;0,2;1,4;
269;RFE;MEB;3;30;1;0,2;1,6;
197;RFE;MEV;9;21;1;0,4;3;
658;RFE;MGK;2;75;2;0,2;0,4;
24;RFE;STR;4;3;2;0,4;0,5;
354;RFE;OMA;10;39;2;0,5;1,1;
579;RFE;RER;1;66;2;0,5;0,6;
275;RFE;MEB;9;30;2;0,4;0,8;
115;RFE;RHE;5;12;2;0,4;0,6;
427;RFE;JPK-87;5;48;2;0,4;0,6;
429;RFE;JPK-87;7;48;1;;;*
507;RFE;JPK-132;7;57;2;0,3;2;
586;RFE;RER;8;66;3;0,5;1,3;
111;RFE;RHE;1;12;3;0,2;1,1;
430;RFE;JPK-87;8;48;3;;;*
432;RFE;JPK-87;10;49;4;;;*
268;RFE;MEB;2;30;3;0,2;;*
666;RFE;MGK;10;75;3;0,4;0,8;
25;RFE;STR;5;3;3;0,2;0,3;
196;RFE;MEV;8;21;3;0,5;0,9;
349;RFE;OMA;5;39;3;0,5;2;
274;RFE;MEB;8;30;3;0,2;1;
271;RFE;MEB;5;30;7;;;*
270;RFE;MEB;4;30;4;0,2;0,7;
431;RFE;JPK-87;9;48;4;0,3;0,4;
587;RFE;RER;9;66;4;0,8;1,5;
665;RFE;MGK;9;75;4;0,5;0,8;
501;RFE;JPK-132;1;57;4;0,6;1,5;
193;RFE;MEV;5;21;2;;;*
23;RFE;STR;3;3;4;0,4;0,7;
351;RFE;OMA;7;39;4;0,1;1;
191;RFE;MEV;3;21;4;0,3;0,6;
198;RFE;MEV;10;21;4;0,8;1,5;
28;RFE;STR;8;3;4;0,6;0,4;
189;RFE;MEV;1;21;5;0,3;;*
657;RFE;MGK;1;75;8;;;*
